soil_ph,soil_moisture,soil_temperature,total_N,fertilizer_type,nh3,log_nh3,log_totalN,Ref
5.8,10,17.5,114.7,1,15.3,2.727852828,4.742320024,ALFAM21
5.8,31,16.1,197.5,1,15.2,2.721295428,5.285738584,ALFAM21
6.9,30,20,58.9,1,15.2,2.721295428,4.075841091,Häni et al.9
8,25.1,17.3,92.3,1,15.2,2.721295428,4.525044142,ALFAM21
5.8,23,9.7,161.4,1,15.1,2.714694744,5.083885756,ALFAM21
5.8,10,17.5,114.7,1,15.1,2.714694744,4.742320024,ALFAM21
5.8,31,16.2,134,1,15,2.708050201,4.8978398,ALFAM21
8,25.9,5.8,94.7,1,14.9,2.701361213,4.550714,ALFAM21
6.1,20,23.3,144.7,1,14.8,2.694627181,4.974662634,ALFAM21
7.2,30,10,93,1,14.8,2.694627181,4.532599493,Häni et al.9
6.5,31,6.2,132,1,14.7,2.687847494,4.882801923,ALFAM21
5.8,10,12.1,124.6,1,14.6,2.681021529,4.825108606,ALFAM21
5.8,31,16.2,184.6,1,14.4,2.667228207,5.218191322,ALFAM21
8,25.9,5.8,94.7,1,14.4,2.667228207,4.550714,ALFAM21
6.1,20,23.3,143.6,1,14.2,2.653241965,4.967031657,ALFAM21
5.8,10,17.4,172.1,1,14.2,2.653241965,5.148075703,ALFAM21
5.8,10,17.5,114.7,1,14.1,2.646174797,4.742320024,ALFAM21
8,100,17.9,126.4,1,14.1,2.646174797,4.839451482,ALFAM21
6.5,31,6.1,132,1,14.1,2.646174797,4.882801923,ALFAM21
6.5,19,18.6,170,1,14.1,2.646174797,5.135798437,ALFAM21
6.1,40,16,140,1,14,2.63905733,4.941642423,Gericke et al.14
8,28.5,9.8,126.1,1,13.9,2.63188884,4.837075243,ALFAM21
7.2,20.3,17.5,130.6,1,13.9,2.63188884,4.872139217,ALFAM21
5.8,10,17.1,105.9,1,13.8,2.624668592,4.662495253,ALFAM21
6.1,20,23.3,140.4,1,13.8,2.624668592,4.944495492,ALFAM21
5.8,31,15.2,238.6,1,13.7,2.617395833,5.47478851,ALFAM21
6.5,31,6.2,143.8,1,13.3,2.587764035,4.968423445,ALFAM21
6.1,40,16,140,1,13.3,2.587764035,4.941642423,Gericke et al.14
8,29.6,6.2,66.3,1,13.3,2.587764035,4.194189897,ALFAM21
7.2,32.5,7.8,115.6,1,13.2,2.58021683,4.750135956,ALFAM21
5.8,10,17.5,172.1,1,13.2,2.58021683,5.148075703,ALFAM21
6.1,30,19.2,142,1,13.2,2.58021683,4.955827058,ALFAM21
5.6,41,14,160.4,1,13.1,2.57261223,5.077670695,ALFAM21
5.8,10,17,158.9,1,13.1,2.57261223,5.068275074,ALFAM21
5.8,31,16.1,174.9,1,13,2.564949357,5.164214382,ALFAM21
5.8,10,17.2,158.9,1,12.9,2.557227311,5.068275074,ALFAM21
7.1,24.7,15.3,67.5,1,12.9,2.557227311,4.212127598,Rodhe et al.15
6.6,30,19,65,1,12.9,2.557227311,4.17438727,Häni et al.9
5.8,31,15.8,167.5,1,12.7,2.541601993,5.120983351,ALFAM21
6.5,40,15,140,1,12.6,2.533696814,4.941642423,Ni et al.16
5.8,10,17,52.9,1,12.6,2.533696814,3.968403339,ALFAM21
6.5,17,21,191.8,1,12.6,2.533696814,5.256453162,ALFAM21
6.1,20,23.3,143.4,1,12.6,2.533696814,4.965637928,ALFAM21
5.8,10,17.5,114.7,1,12.6,2.533696814,4.742320024,ALFAM21
6.5,31,6.1,132,1,12.5,2.525728644,4.882801923,ALFAM21
5.8,31,16.2,142.8,1,12.4,2.517696473,4.96144505,ALFAM21
6.5,17,21,191.8,1,12.4,2.517696473,5.256453162,ALFAM21
5.8,31,16.2,142.8,1,12.4,2.517696473,4.96144505,ALFAM21
5.8,23,9.7,184.5,1,12.3,2.509599262,5.217649463,ALFAM21
5.6,63.3,16.8,100,0,12.2,2.501435952,4.605170186,Salazar et al.6
5.8,10,16.9,105.9,1,12.1,2.493205453,4.662495253,ALFAM21
7.1,24.7,8.4,115,1,12,2.48490665,4.744932128,Webb et al.2
5.8,10,17.5,172.1,1,11.9,2.4765384,5.148075703,ALFAM21
6.1,24.9,10.7,116,1,11.8,2.468099531,4.753590191,ALFAM21
6.5,17,20.7,149.5,1,11.8,2.468099531,5.007296393,ALFAM21
8,25.2,12,136.6,1,11.7,2.459588842,4.917056947,ALFAM21
5.6,41,14,160.4,1,11.6,2.451005098,5.077670695,ALFAM21
5.8,23,19.8,109.6,1,11.6,2.451005098,4.696837375,ALFAM21
5.8,10,12.1,127.8,1,11.6,2.451005098,4.850466542,ALFAM21
6.5,21,23,150,1,11.5,2.442347035,5.010635294,ALFAM21
5.8,10,12.1,73,1,11.5,2.442347035,4.290459441,ALFAM21
6.5,23,12.5,143.4,1,11.4,2.433613355,4.965637928,ALFAM21
8,20.2,16.9,164,1,11.4,2.433613355,5.099866428,ALFAM21
6.5,24,16.4,97.4,1,11.4,2.433613355,4.578826211,ALFAM21
5.8,31,15.3,143.3,1,11.4,2.433613355,4.964940335,ALFAM21
7.1,28.3,16.1,102,1,11.3,2.424802726,4.624972813,ALFAM21
7.2,30.6,10.5,110.1,1,11.3,2.424802726,4.701389044,ALFAM21
6.5,21,23,144.7,1,11.3,2.424802726,4.974662634,ALFAM21
6.5,17,20.8,149.5,1,11.3,2.424802726,5.007296393,ALFAM21
5.8,10,17.4,193,1,11.2,2.415913778,5.262690189,ALFAM21
7.6,30.7,9.2,141.4,1,11.2,2.415913778,4.951592753,ALFAM21
8.2,23,13,117,0,11.1,2.406945108,4.762173935,Huo et al.13
5.8,10,12.2,157.4,1,11.1,2.406945108,5.058790336,ALFAM21
5.8,23,9.7,184.5,1,11,2.397895273,5.217649463,ALFAM21
5.8,10,12.1,127.8,1,11,2.397895273,4.850466542,ALFAM21
6.5,17,20.9,191.8,1,10.9,2.388762789,5.256453162,ALFAM21
7.1,32.5,7.7,115.6,1,10.9,2.388762789,4.750135956,ALFAM21
5.8,31,16.1,184.6,1,10.9,2.388762789,5.218191322,ALFAM21
5.8,10,12.2,157.4,1,10.8,2.379546134,5.058790336,ALFAM21
6.5,17,20.9,149.5,1,10.7,2.370243741,5.007296393,ALFAM21
8,25.9,5.8,94.7,1,10.7,2.370243741,4.550714,ALFAM21
6.1,22.8,10.7,109.2,1,10.7,2.370243741,4.693181063,ALFAM21
6.5,21,23,143.6,1,10.7,2.370243741,4.967031657,ALFAM21
7.2,20.3,17.5,130.6,1,10.7,2.370243741,4.872139217,ALFAM21
8,20.2,16.8,89.4,1,10.6,2.360854001,4.493120682,ALFAM21
5.8,31,15.9,192,1,10.6,2.360854001,5.257495372,ALFAM21
5.8,23,9.7,161.4,1,10.6,2.360854001,5.083885756,ALFAM21
5.8,23,9.7,184.5,1,10.5,2.351375257,5.217649463,ALFAM21
6.5,23,12.5,150,1,10.5,2.351375257,5.010635294,ALFAM21
7.1,32.5,7.7,115.6,1,10.4,2.341805806,4.750135956,ALFAM21
5.8,23,9.7,184.5,1,10.4,2.341805806,5.217649463,ALFAM21
5.8,10,12.1,124.6,1,10.3,2.332143895,4.825108606,ALFAM21
5.8,23,19.5,174.3,1,10.3,2.332143895,5.160777953,ALFAM21
7.2,26.5,16.1,102,1,10.3,2.332143895,4.624972813,ALFAM21
7.2,20.4,21.6,130.3,1,10.3,2.332143895,4.869839484,ALFAM21
6.5,17,20.8,149.5,1,10.2,2.32238772,5.007296393,ALFAM21
5.8,23,19.9,109.6,1,10.2,2.32238772,4.696837375,ALFAM21
6.1,24.9,10.7,116,1,10.2,2.32238772,4.753590191,ALFAM21
6.5,21,23,140.4,1,10.2,2.32238772,4.944495492,ALFAM21
5.8,10,17.5,193,1,10.1,2.312535424,5.262690189,ALFAM21
7.9,100,10.5,135.9,1,10.1,2.312535424,4.911919321,ALFAM21
7.1,26.6,12.5,130.7,1,10.1,2.312535424,4.872904621,ALFAM21
6.5,40,15,140,1,10.1,2.312535424,4.941642423,Ni et al.16
6.5,40,8,140,1,10.1,2.312535424,4.941642423,Ni et al.16
8.1,60,15.5,80,0,10,2.302585093,4.382026635,Badagliacca et al.12
6.5,40,15,140,1,10,2.302585093,4.941642423,Ni et al.16
6.1,26.9,9.9,110.9,1,9.9,2.292534757,4.708628894,ALFAM21
5.8,10,12.1,54.8,1,9.9,2.292534757,4.003690194,ALFAM21
5.8,10,12.1,124.6,1,9.9,2.292534757,4.825108606,ALFAM21
7.2,20.3,17.5,130.6,1,9.8,2.282382386,4.872139217,ALFAM21
6.5,24,16.4,151.7,1,9.8,2.282382386,5.021904886,ALFAM21
