"SpCode","Taxa","Sp_CommonName","Sp_ScientificName","Fam_CommonName","FMP","FMP_BSAI","FMP_GOA","FMP_Arctic","FMP_Salmon","Fam_ScientificName"
"CODTOM","Fish","Pacific tomcod","Microgadus proximus","cods",0,0,0,0,0,"Gadidae"
"DABLH","Fish","Longhead dab","Limanda proboscidea","righteye flounders",1,1,0,0,0,"Pleuronectidae"
"DOLLY","Fish","Dolly Varden","Salvelinus malma","trouts and salmons",0,0,0,0,0,"Salmonidae"
"DSMELTNS","Fish","Northern smoothtongue","Leuroglossus schmidti","deepsea smelts",0,0,0,0,0,"Bathylagidae"
"EBLNYSLE","Fish","Slender eelblenny","Lumpenus fabricii","pricklebacks",0,0,0,0,0,"Stichaeidae"
"EBLNYSTO","Fish","Stout eelblenny","Anisarchus medius","pricklebacks",0,0,0,0,0,"Stichaeidae"
"EPOUTCAN","Fish","Canadian eelpout","Lycodes polaris","eelpouts",0,0,0,0,0,"Zoarcidae"
"EPOUTEST","Fish","Estuarine eelpout","Lycodes turneri","eelpouts",0,0,0,0,0,"Zoarcidae"
"EPOUTLON","Fish","Longear eelpout","Lycodes seminudus","eelpouts",0,0,0,0,0,"Zoarcidae"
"EPOUTMAR","Fish","Marbled eelpout","Lycodes raridens","eelpouts",0,0,0,0,0,"Zoarcidae"
"EPOUTPOL","Fish","Polar eelpout","Lycodes turneri","eelpouts",0,0,0,0,0,"Zoarcidae"
"EPOUTSAD","Fish","Saddled eelpout","Lycodes mucosus","eelpouts",0,0,0,0,0,"Zoarcidae"
"EPOUTWAT","Fish","Wattled eelpout","Lycodes palearis","eelpouts",0,0,0,0,0,"Zoarcidae"
"EULACHON","Fish","Eulachon","Thaleichthys pacificus","smelts",0,0,0,0,0,"Osmeridae"
"FISHDCTR","Fish","Fish doctor","Gymnelus viridis","eelpouts",0,0,0,0,0,"Zoarcidae"
"FLOUNARC","Fish","Arctic flounder","Pleuronectes glacialis","righteye flounders",1,1,0,0,0,"Pleuronectidae"
"FLOUNARW","Fish","Arrowtooth flounder","Atheresthes stomias","righteye flounders",1,1,1,0,0,"Pleuronectidae"
"FLOUNATH","Fish","unidentified Atheresthes flounder (Arrowtooth or Kamchatka)","Atheresthes species","righteye flounders",1,1,1,0,0,"Pleuronectidae"
"FLOUNBER","Fish","Bering flounder","Hippoglossoides robustus","righteye flounders",0,0,0,0,0,"Pleuronectidae"
"FLOUNST","Fish","Starry flounder","Platichthys stellatus","righteye flounders",1,1,1,0,0,"Pleuronectidae"
"GOBYBAY","Fish","Bay goby","Lepidogobius lepidus","gobies",0,0,0,0,0,"Gobiidae"
"GOBYBE","Fish","Blackeye goby","Rhinogobiops nicholsii","gobies",0,0,0,0,0,"Gobiidae"
"GRAYARC","Fish","Arctic grayling","Thymallus arcticus","trouts and salmons",0,0,0,0,0,"Salmonidae"
"GREENKEL","Fish","Kelp greenling","Hexagrammos decagrammus","greenlings",0,0,0,0,0,"Hexagrammidae"
"GREENMAS","Fish","Masked greenling","Hexagrammos octogrammus","greenlings",0,0,0,0,0,"Hexagrammidae"
"GREENPAI","Fish","Painted greenling","Oxylebius pictus","greenlings",0,0,0,0,0,"Hexagrammidae"
"GREENROC","Fish","Rock greenling","Hexagrammos lagocephalus","greenlings",0,0,0,0,0,"Hexagrammidae"
"GREENWHI","Fish","Whitespotted greenling","Hexagrammos stelleri","greenlings",0,0,0,0,0,"Hexagrammidae"
"GUNNBAN","Fish","Banded gunnel","Pholis fasciata","gunnels",0,0,0,0,0,"Pholidae"
"GUNNCRE","Fish","Crescent gunnel","Pholis laeta","gunnels",0,0,0,0,0,"Pholidae"
"GUNNPEN","Fish","Penpoint gunnel","Apodichthys flavidus","gunnels",0,0,0,0,0,"Pholidae"
"HALIBUT","Fish","Pacific halibut","Hippoglossus stenolepis","righteye flounders",0,0,0,0,0,"Pleuronectidae"
"HAMECON","Fish","Hamecon","Artediellus scaber","sculpins",0,0,0,0,0,"Cottidae"
"HERRING","Fish","Pacific herring","Clupea pallasii","herrings",0,0,0,0,0,"Clupeidae"
"INCONNU","Fish","Inconnu","Stenodus leuchichthys","whitefishes",0,0,0,0,0,"Coregoninae"
"LAMPNOR","Fish","Northern lampfish","Stenobrachius leucopsarus","lanternfishes",0,0,0,0,0,"Myctophidae"
"LAMPRYAR","Fish","Arctic lamprey","Lampetra camtschatica","lampreys",0,0,0,0,0,"Petromyzontidae"
